state_name,year,average_labor_force,average_employed,average_unemployed,average_unemployment_rate
Kansas,1977,10533.371428571429,10114.333333333334,419.03809523809525,2.9514285714285715
Kansas,1978,10876.361904761905,10552.485714285714,323.87619047619046,2.275238095238095
Kansas,1979,11200.066666666668,10828.609523809524,371.45714285714286,2.7066666666666666
Kansas,1980,11285.819047619048,10780.980952380953,504.83809523809526,3.4495238095238094
Kansas,1981,11342.990476190476,10866.752380952381,476.23809523809524,3.3933333333333335
Kansas,1982,11285.857142857143,10581.057142857142,704.8,4.86952380952381
Kansas,1983,11285.771428571428,10600.066666666668,685.7047619047619,5.055238095238095
Kansas,1984,11409.6,10809.561904761904,600.0380952380953,4.7247619047619045
Kansas,1985,11847.657142857142,11257.133333333333,590.5238095238095,4.703809523809523
Kansas,1986,11771.485714285714,11133.342857142858,638.1428571428571,5.52
Kansas,1987,12066.733333333334,11476.219047619048,590.5142857142857,4.744761904761905
Kansas,1988,12209.72380952381,11628.619047619048,581.1047619047619,4.406666666666666
Kansas,1989,12238.247619047619,11743,495.247619047619,3.704761904761905
Kentucky,1976,12358.475,11666.741666666667,691.7333333333333,6.079166666666667
Kentucky,1977,12916.758333333333,12316.7,600.0583333333333,5.168333333333333
Kentucky,1978,13316.75,12616.716666666667,700.0333333333333,5.965
Kentucky,1979,13391.775,12650.083333333334,741.6916666666667,6.705
Kentucky,1980,13866.708333333334,12758.383333333333,1108.325,9.216666666666667
Kentucky,1981,13908.416666666666,12741.7,1166.7166666666667,9.543333333333333
Kentucky,1982,14050,12558.333333333334,1491.6666666666667,12.054166666666667
Kentucky,1983,14175,12525,1650,13.163333333333334
Kentucky,1984,14300,12966.666666666666,1333.3333333333333,11.106666666666667
Kentucky,1985,14125.108333333334,12783.366666666667,1341.7416666666666,11.5575
Kentucky,1986,14100.008333333333,12791.666666666666,1308.3416666666667,11.543333333333333
Kentucky,1987,14033.308333333332,12799.958333333334,1233.35,10.720833333333333
Kentucky,1988,14275.166666666666,13150.083333333334,1125.0833333333333,9.815
Kentucky,1989,14516.791666666666,13616.733333333334,900.0583333333333,7.58
Louisiana,1976,23828.203125,22203.140625,1625.0625,7.0390625
Louisiana,1977,25062.578125,23328.125,1734.453125,7.140625
Louisiana,1978,26000.125,24187.5625,1812.5625,7.6984375
Louisiana,1979,27046.984375,25250.09375,1796.890625,7.7093750000000005
Louisiana,1980,27953.1875,26062.546875,1890.640625,8.2109375
Louisiana,1981,29000.0625,26562.515625,2437.546875,10.0921875
Louisiana,1982,29125,26109.375,3015.625,12.528125
Louisiana,1983,29843.75,26328.125,3515.625,13.2921875
Louisiana,1984,30296.9375,27265.625,3031.3125,11.353125
Louisiana,1985,31046.90625,27468.75,3578.15625,12.8921875
Louisiana,1986,31125,27031.25,4093.75,15.571875
Louisiana,1987,30453.125,26796.875,3656.25,14.1703125
Louisiana,1988,29937.5625,26671.890625,3265.671875,12.9875
Louisiana,1989,29687.515625,27328.15625,2359.359375,9.6
Maine,1976,30000,27312.5,2687.5,9.475
Maine,1977,29875.1875,27375.125,2500.0625,9.01875
Maine,1978,30250.1875,28375.1875,1875,6.74375
Maine,1979,31187.375,28937.375,2250,7.725
