GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",96.204,94.800,96.073,98.939,100.100,99.872,102.693,103.240,108.251,108.945,112.328,113.583,117.615,119.666,129.915
 "14500","Boulder, CO (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",96.740,93.837,94.584,99.437,101.625,101.384,103.285,104.007,103.803,105.316,103.701,109.140,106.324,110.120,115.917
 "14540","Bowling Green, KY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",77.204,75.294,79.972,81.424,83.743,86.114,86.705,86.489,85.824,87.938,89.694,92.005,93.600,96.570,103.619
 "14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",95.416,94.074,93.497,96.421,97.890,98.735,101.680,102.073,105.268,107.858,109.541,109.434,110.162,112.957,126.202
 "14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",104.476,104.813,102.686,106.047,107.774,110.215,112.051,110.716,112.021,111.822,109.646,109.918,113.798,115.690,127.432
 "15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",75.796,76.602,78.717,83.099,84.333,83.868,85.343,85.956,87.983,87.984,86.901,90.735,89.016,95.837,99.132
 "15260","Brunswick, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",78.613,76.717,81.125,82.305,84.948,85.943,88.296,87.105,87.671,89.353,93.626,89.815,93.150,98.215,106.272
 "15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.741,87.169,87.291,89.370,90.986,93.263,92.229,95.281,95.953,97.348,97.505,98.157,98.678,103.481,108.943
 "15500","Burlington, NC (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",82.456,81.662,83.655,86.709,88.193,89.856,90.009,90.640,90.570,92.184,93.307,93.658,93.869,97.483,107.097
 "15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",92.086,93.349,92.548,94.726,97.155,99.032,96.747,100.229,100.502,103.752,104.259,108.158,109.836,111.715,123.558
