GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",21991872,22528431,22633404,23028296,22833914,22695148,23623960,24823651,25159794,26260552,26958359,28346711,30658056,30830257,29010877
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",77527335,76416088,79476496,85529705,91085062,94093039,100251901,105569469,107853999,117535685,128870923,135939305,140483021,155781680,158976364
 "12540","Bakersfield, CA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",27705320,26674185,29099102,29375275,30298456,31155245,32718498,33952357,33900078,33305067,32649919,34086827,38523289,38823805,33973928
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",135392782,130664188,136424832,136521050,140662178,139186983,143765778,148695233,151212744,151893394,157574086,163826556,169910060,174473917,170803281
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5940073,6259117,5894239,6124224,5886131,5663898,6173120,6301592,6357643,6367450,6554981,6527381,7073353,7382406,7130489
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",11751004,11755510,11704417,12580158,12665148,12730000,12622596,13055758,13434452,13700239,14775912,15244853,17242453,17737682,15708033
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",37269335,37640560,37638752,38298976,39087035,39009886,39821442,40589615,40680760,41836301,43482414,44503960,47123126,48988996,46413548
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5116689,5049351,5227585,5197242,5159788,5171849,5179884,5573156,5588095,5636250,5578152,5672402,6185865,6217109,5790396
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4163911,4176590,4328852,4360247,4308498,4257552,4303646,4550890,4550904,4650546,4630459,4656845,5270283,5237124,5010722
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",15958250,16162240,16547871,16499231,17189702,16401994,17443050,18285204,17697304,18366305,18487962,18517590,19637921,19131958,18445277
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4859114,5340187,5045968,5459126,5437821,5000379,5016164,5049984,5074139,5150458,5179294,5312550,5607571,5447340,5175917
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",8358717,7824150,8160984,8125130,8549321,8522215,8800310,9264242,9761327,9907078,10078500,10725438,11360379,11685347,11099065
 "13460","Bend, OR (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",6570969,6176906,6269796,6604800,6931799,7301083,7583085,8258420,9049714,9523096,9992236,10508827,11750056,12896297,11836938
 "13740","Billings, MT (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",7486093,7302020,7621460,7805186,8232313,8328221,8689808,8938163,9072825,9209735,9748178,9765812,10797318,11537397,11466902
 "13780","Binghamton, NY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",9871394,10046474,10085700,10111883,10399452,10144037,10202688,10332734,10288388,10484260,10705656,11186719,11664938,12142401,11321224
 "13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",50589227,49348265,49520388,49516944,51203211,50232727,51954173,54636982,54558507,57020036,60313921,61266093,63887145,68130874,65896473
 "13900","Bismarck, ND (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5331775,5444255,6007317,6496057,6810157,6963981,7444928,7681092,7460767,7753378,7926192,7864793,8438578,8822172,8786070
 "13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5906436,6007164,5754243,5809049,6056119,5824560,6048654,6309854,6602190,6701322,6695372,6823631,7164309,7413221,7131348
 "14010","Bloomington, IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",7617210,7715868,7768723,8169434,8112190,8311242,8113757,8561293,8697948,8752854,8782381,8684615,9715133,10061385,9311629
 "14020","Bloomington, IN (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5785031,5651277,5768754,5923420,6134997,6062189,6212126,6567235,6752668,7144302,7318911,7444866,7920897,8264421,8051187
 "14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",3383447,3393588,3520247,3645093,3660365,3636853,3710200,3759722,3799202,3867757,3948077,4062837,4373468,4575376,4295929
 "14260","Boise City, ID (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",24571910,23282132,24078785,24396573,25363963,26315322,27795667,29835864,31499928,32222548,34943503,36406890,40769201,44538055,44440941
 "14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",263323248,264958830,275143198,280718345,287687884,290264581,296248428,315507593,313392303,328438309,336093530,348807270,356128192,379854841,355755821
 "14500","Boulder, CO (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",15752949,14743691,15746409,15866350,16404157,17177286,18127776,19529151,20091253,21218920,22741325,23785442,25500358,27851474,27909443
 "14540","Bowling Green, KY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5952943,5980734,5967205,6153180,6182429,6141223,6397745,6751423,6977592,7082182,7102710,7291535,7797697,8344769,8065855
 "14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",11028706,11019022,11385881,11375931,11595833,11450639,11737983,12244552,12475343,12839973,13438301,14536267,15619697,16438311,15041605
 "14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",85754394,85272739,92065567,90520294,88788851,81648682,84760119,87331733,88564708,91593987,98851727,99256730,97563915,100196495,94826807
 "15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",11415769,11750845,12251032,12183875,12237560,12578276,12808534,13022332,13074448,13264103,13990677,14012387,16007617,16830943,16048878
 "15260","Brunswick, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4627239,4546565,4446451,4575783,4487871,4490968,4570569,4925338,5005771,5177688,5245008,5597637,5950706,6251261,5918543
 "15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",48256800,48529854,50101350,50927715,51505655,50685199,52495794,52947005,53617807,55529068,56873264,58869251,64185373,64271071,60276405
 "15500","Burlington, NC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5917417,5833650,5805202,5847871,5932589,5894894,6139595,6306591,6565322,6754381,7056305,7480423,8126682,8627901,8085096
 "15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",9942232,9707515,10066595,10592717,10657842,10676227,11384881,11340991,11584713,11587578,11944077,12119015,12617264,13261323,12430635
 "15680","California-Lexington Park, MD (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5158367,5543410,5593790,5709496,5735262,5615714,5717214,5949831,6090600,6433542,6332942,6648056,6955878,7124452,6576653
 "15940","Canton-Massillon, OH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",16663397,16356075,16479511,17385637,17512540,17515593,17909060,18635932,18545341,18914944,18991481,19272004,21063344,21642341,20680666
 "15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",28227800,28339245,27868813,29146955,29193441,29238709,31283246,33341849,34810022,37057119,38588580,41024153,43500249,45703448,44428080
 "16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4322856,4227645,4035140,4150157,4243883,4183551,4240123,4493644,4555836,4631142,4584504,4445437,4812092,4887630,4835463
 "16060","Carbondale-Marion, IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5823953,5797589,5984142,5848224,5841343,5903165,5879354,6117343,6154229,6427723,6112959,6130401,6617880,6939986,6392127
 "16180","Carson City, NV (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",1846533,2683495,2782080,2605498,2568377,2416876,2401170,2490783,2554097,2654894,2861091,2864004,3250046,3427373,3242776
 "16220","Casper, WY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4823395,3981154,4386767,4556412,5045710,5240619,5832765,6194429,5156045,5089585,5472888,5306456,5250669,5374129,5109724
 "16300","Cedar Rapids, IA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",12404506,12307398,12556496,13001637,13243573,13691936,13677308,14253376,14653755,14750232,14931299,15115681,15897197,16423515,16176567
 "16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",6132153,6054326,6243884,6441787,6475792,6383413,6734757,6826295,6882157,6921244,7275272,7566096,8133604,8371022,7970135
 "16580","Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",8778494,9366186,9665546,9921486,9918505,10203996,10374802,10780740,10540664,10684992,10627844,10709783,11739813,12234416,11735983
 "16620","Charleston, WV (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",12265622,12483474,12254433,12292379,12350247,12139099,12188674,12299324,11998759,12265174,12461318,12706944,13499473,13291398,12867789
 "16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",27180346,26578700,27917308,29149781,30974957,30481544,32407573,34687223,36368926,38046127,39609135,42490597,44583321,46388883,45724140
 "16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",118476101,109565139,101103148,103975565,114214295,108064701,112989488,121480006,125374035,132660254,138488276,146842251,158021840,162196745,160109338
 "16820","Charlottesville, VA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10311479,10099514,10230543,10499712,11344968,10867668,11399968,12076602,12614893,13508578,14231627,15098268,14831490,16046307,16039154
 "16860","Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",22075439,22012867,22325237,23011703,23622617,23477319,23781139,24998096,25338203,25994383,28041741,28301240,30178686,31100294,29320592
 "16940","Cheyenne, WY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4747378,4327263,4572414,4805848,4893861,4916084,4902915,5147005,4913863,4951473,5417123,5281258,5876528,5863283,5469531
 "16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",464844114,434252323,439152788,445830957,471205004,476200701,499286396,527416735,522735740,524890105,550508667,566363445,580984865,597926208,559310419
