GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,SARPP,2,"..."," RPPs: Goods ","Index",106.755,108.867,108.601,108.491,106.245,109.021,109.101,110.773,112.354,112.648,116.616,115.275,112.463,110.142,111.845
 "16000","Idaho",7,SARPP,2,"..."," RPPs: Goods ","Index",99.218,100.580,99.083,99.652,98.149,96.360,97.204,100.387,99.619,101.149,96.119,98.870,95.382,96.589,95.844
 "17000","Illinois",3,SARPP,2,"..."," RPPs: Goods ","Index",99.357,101.679,102.190,102.680,101.119,99.925,100.542,98.658,98.261,100.041,101.445,102.765,101.208,103.641,102.771
 "18000","Indiana",3,SARPP,2,"..."," RPPs: Goods ","Index",92.829,94.692,96.501,96.499,97.492,97.222,98.316,97.712,97.020,95.898,97.802,96.519,94.912,95.599,94.183
 "19000","Iowa",4,SARPP,2,"..."," RPPs: Goods ","Index",86.825,91.139,95.436,95.456,96.381,95.919,96.965,96.988,95.991,94.974,95.816,97.252,95.581,94.182,93.337
 "20000","Kansas",4,SARPP,2,"..."," RPPs: Goods ","Index",88.694,93.667,95.513,95.885,96.957,96.291,97.044,97.466,96.523,95.835,95.007,97.148,95.905,93.901,93.679
 "21000","Kentucky",5,SARPP,2,"..."," RPPs: Goods ","Index",96.327,93.473,96.509,95.345,93.893,94.941,94.998,94.025,95.229,94.605,93.321,94.897,94.339,93.974,94.049
 "22000","Louisiana",5,SARPP,2,"..."," RPPs: Goods ","Index",96.440,94.024,96.681,96.141,95.539,96.144,96.338,95.317,95.985,95.792,93.537,95.051,94.558,95.149,93.859
 "23000","Maine",1,SARPP,2,"..."," RPPs: Goods ","Index",100.219,100.663,98.186,98.358,99.054,98.484,98.264,99.410,99.058,100.261,100.935,99.409,99.535,99.184,101.102
 "24000","Maryland",2,SARPP,2,"..."," RPPs: Goods ","Index",104.779,107.809,104.102,104.872,103.693,104.715,102.819,102.083,102.526,101.974,102.539,101.273,102.542,103.665,103.062
 "25000","Massachusetts",1,SARPP,2,"..."," RPPs: Goods ","Index",98.493,97.810,99.779,101.491,101.309,100.920,104.097,102.208,103.838,103.926,102.326,103.585,105.309,105.602,107.319
 "26000","Michigan",3,SARPP,2,"..."," RPPs: Goods ","Index",95.329,97.742,98.244,98.547,98.230,98.403,98.620,97.818,97.779,97.345,98.399,96.101,95.924,94.649,93.043
 "27000","Minnesota",4,SARPP,2,"..."," RPPs: Goods ","Index",96.184,99.724,98.197,99.253,99.609,98.547,101.122,100.308,98.608,100.157,100.988,100.507,99.395,100.441,100.040
 "28000","Mississippi",5,SARPP,2,"..."," RPPs: Goods ","Index",96.016,92.944,96.471,95.304,93.341,94.574,94.043,93.308,94.248,93.775,93.138,94.954,94.662,94.254,94.178
 "29000","Missouri",4,SARPP,2,"..."," RPPs: Goods ","Index",87.386,91.532,96.497,95.331,95.859,96.822,97.693,97.451,96.360,96.014,95.965,98.122,99.035,98.484,96.747
 "30000","Montana",7,SARPP,2,"..."," RPPs: Goods ","Index",99.766,99.676,99.311,99.719,97.735,95.939,97.293,101.476,101.897,101.914,96.111,98.892,95.826,96.734,96.199
 "31000","Nebraska",4,SARPP,2,"..."," RPPs: Goods ","Index",89.502,92.404,95.544,95.603,96.519,95.977,97.092,97.254,96.316,95.151,94.632,97.184,96.101,94.679,94.019
 "32000","Nevada",8,SARPP,2,"..."," RPPs: Goods ","Index",96.146,101.490,98.128,99.431,99.622,97.541,96.433,96.089,95.224,99.585,95.636,98.750,96.323,96.749,97.001
 "33000","New Hampshire",1,SARPP,2,"..."," RPPs: Goods ","Index",98.827,98.340,98.455,99.868,99.820,99.486,101.681,101.222,101.752,101.891,101.168,100.677,101.849,102.051,104.611
